Text,Size,Color,Angle,Font,Repeat,URL
Website,108,Random,Random,Random,Yes,
Nothing,108,Random,Random,Random,Yes,
See,107,Random,Random,Random,Yes,
Made,107,Random,Random,Random,Yes,
Tried,106,Random,Random,Random,Yes,
Find,106,Random,Random,Random,Yes,
Come,103,Random,Random,Random,Yes,
System,103,Random,Random,Random,Yes,
Mile,103,Random,Random,Random,Yes,
Disappoint,102,Random,Random,Random,Yes,
Refund,102,Random,Random,Random,Yes,
Ask,102,Random,Random,Random,Yes,
Long,101,Random,Random,Random,Yes,
Care,101,Random,Random,Random,Yes,
Left,99,Random,Random,Random,Yes,
Keep,99,Random,Random,Random,Yes,
Charge,98,Random,Random,Random,Yes,
Already,98,Random,Random,Random,Yes,
Night,98,Random,Random,Random,Yes,
Sure,98,Random,Random,Random,Yes,
Happen,97,Random,Random,Random,Yes,
Put,97,Random,Random,Random,Yes,
Hope,95,Random,Random,Random,Yes,
Staff,94,Random,Random,Random,Yes,
Same,92,Random,Random,Random,Yes,
Ago,91,Random,Random,Random,Yes,
Think,90,Random,Random,Random,Yes,
Busy,89,Random,Random,Random,Yes,
Fix,88,Random,Random,Random,Yes,
Better,88,Random,Random,Random,Yes,
Rep,87,Random,Random,Random,Yes,
Until,85,Random,Random,Random,Yes,
Yes,85,Random,Random,Random,Yes,
Voucher,84,Random,Random,Random,Yes,
Dfw,84,Random,Random,Random,Yes,
Person,83,Random,Random,Random,Yes,
Talk,82,Random,Random,Random,Yes,
Suppose,80,Random,Random,Random,Yes,
Ridicules,80,Random,Random,Random,Yes,
Haven't,79,Random,Random,Random,Yes,
Suck,79,Random,Random,Random,Yes,
Credit,79,Random,Random,Random,Yes,
Speak,79,Random,Random,Random,Yes,
Info,78,Random,Random,Random,Yes,
Terrible,78,Random,Random,Random,Yes,
Unacceptable,77,Random,Random,Random,Yes,
Show,77,Random,Random,Random,Yes,
Dca,77,Random,Random,Random,Yes,
Attend,77,Random,Random,Random,Yes,
Pilot,77,Random,Random,Random,Yes,
Option,76,Random,Random,Random,Yes,
Morning,76,Random,Random,Random,Yes,
Point,76,Random,Random,Random,Yes,
Well,76,Random,Random,Random,Yes,
Anything,75,Random,Random,Random,Yes,
Extra,75,Random,Random,Random,Yes,
Without,75,Random,Random,Random,Yes,
Anyone,75,Random,Random,Random,Yes,
Paid,74,Random,Random,Random,Yes,
Claim,74,Random,Random,Random,Yes,
Strand,74,Random,Random,Random,Yes,
Year,74,Random,Random,Random,Yes,
Wifi,74,Random,Random,Random,Yes,
Having,73,Random,Random,Random,Yes,
St,73,Random,Random,Random,Yes,
Much,73,Random,Random,Random,Yes,
Final,73,Random,Random,Random,Yes,
Tonight,72,Random,Random,Random,Yes,
Understand,72,Random,Random,Random,Yes,
Avail,72,Random,Random,Random,Yes,
Delta,71,Random,Random,Random,Yes,
Air,70,Random,Random,Random,Yes,
Stop,70,Random,Random,Random,Yes,
Fee,70,Random,Random,Random,Yes,
Employee,70,Random,Random,Random,Yes,
Lax,69,Random,Random,Random,Yes,
Upgrade,69,Random,Random,Random,Yes,
Phl,69,Random,Random,Random,Yes,
Send,69,Random,Random,Random,Yes,
Thing,68,Random,Random,Random,Yes,
Gt,68,Random,Random,Random,Yes,
Offer,68,Random,Random,Random,Yes,
Confirm,68,Random,Random,Random,Yes,
Tarmac,68,Random,Random,Random,Yes,
Differ,67,Random,Random,Random,Yes,
Hung,66,Random,Random,Random,Yes,
Seem,66,Random,Random,Random,Yes,
Receive,66,Random,Random,Random,Yes,
Dm,64,Random,Random,Random,Yes,
Mechanic,64,Random,Random,Random,Yes,
Sent,64,Random,Random,Random,Yes,
Reason,63,Random,Random,Random,Yes,
Ground,63,Random,Random,Random,Yes,
Down,62,Random,Random,Random,Yes,
Schedule,62,Random,Random,Random,Yes,
Departure,62,Random,Random,Random,Yes,
Count,62,Random,Random,Random,Yes,
Done,62,Random,Random,Random,Yes,
Sorry,62,Random,Random,Random,Yes,
Sfo,61,Random,Random,Random,Yes,
Site,61,Random,Random,Random,Yes,
Great,61,Random,Random,Random,Yes,
Contact,61,Random,Random,Random,Yes,
Open,61,Random,Random,Random,Yes,
Lose,61,Random,Random,Random,Yes,
Ord,61,Random,Random,Random,Yes,
Poor,61,Random,Random,Random,Yes,
Seriously,60,Random,Random,Random,Yes,
Yesterday,60,Random,Random,Random,Yes,
Full,60,Random,Random,Random,Yes,
Free,59,Random,Random,Random,Yes,
Status,59,Random,Random,Random,Yes,
Ewr,59,Random,Random,Random,Yes,
Horrible,59,Random,Random,Random,Yes,
Move,58,Random,Random,Random,Yes,
Mean,57,Random,Random,Random,Yes,
Reschedule,57,Random,Random,Random,Yes,
Took,57,Random,Random,Random,Yes,
Early,57,Random,Random,Random,Yes,
Past,56,Random,Random,Random,Yes,
App,56,Random,Random,Random,Yes,
Nice,56,Random,Random,Random,Yes,
Clt,56,Random,Random,Random,Yes,
Bc,56,Random,Random,Random,Yes,
Hang,56,Random,Random,Random,Yes,
Ur,55,Random,Random,Random,Yes,
Plan,55,Random,Random,Random,Yes,
Pass,55,Random,Random,Random,Yes,
Money,55,Random,Random,Random,Yes,
Love,54,Random,Random,Random,Yes,
Bo,54,Random,Random,Random,Yes,
Broken,54,Random,Random,Random,Yes,
Class,53,Random,Random,Random,Yes,
Half,53,Random,Random,Random,Yes,
Apology,52,Random,Random,Random,Yes,
Wrong,52,Random,Random,Random,Yes,
Start,52,Random,Random,Random,Yes,
Vacate,52,Random,Random,Random,Yes,
Return,51,Random,Random,Random,Yes,
Many,51,Random,Random,Random,Yes,
Worse,51,Random,Random,Random,Yes,
Old,51,Random,Random,Random,Yes,
Tweet,51,Random,Random,Random,Yes,
Gave,50,Random,Random,Random,Yes,
Cause,50,Random,Random,Random,Yes,
Error,50,Random,Random,Random,Yes,
Row,50,Random,Random,Random,Yes,
Actual,50,Random,Random,Random,Yes,
Complete,50,Random,Random,Random,Yes,
Enough,50,Random,Random,Random,Yes,
Everyone,50,Random,Random,Random,Yes,
Complaint,50,Random,Random,Random,Yes,
Feel,50,Random,Random,Random,Yes,
Twice,50,Random,Random,Random,Yes,
Instead,49,Random,Random,Random,Yes,
Member,49,Random,Random,Random,Yes,
Depart,49,Random,Random,Random,Yes,
Account,48,Random,Random,Random,Yes,
Best,48,Random,Random,Random,Yes,
Cost,48,Random,Random,Random,Yes,
Stay,48,Random,Random,Random,Yes,
Compensate,48,Random,Random,Random,Yes,
Team,48,Random,Random,Random,Yes,
Company,48,Random,Random,Random,Yes,
Pick,48,Random,Random,Random,Yes,
Allow,48,Random,Random,Random,Yes,
Runway,48,Random,Random,Random,Yes,
Provide,47,Random,Random,Random,Yes,
Kid,47,Random,Random,Random,Yes,
Boston,47,Random,Random,Random,Yes,
Expect,47,Random,Random,Random,Yes,
Month,47,Random,Random,Random,Yes,
Message,47,Random,Random,Random,Yes,
Three,46,Random,Random,Random,Yes,
Respond,46,Random,Random,Random,Yes,
Handle,46,Random,Random,Random,Yes,
Drop,46,Random,Random,Random,Yes,
We've,46,Random,Random,Random,Yes,
Follow,46,Random,Random,Random,Yes,
Treat,46,Random,Random,Random,Yes,
Earlier,45,Random,Random,Random,Yes,
Wife,45,Random,Random,Random,Yes,
Direct,45,Random,Random,Random,Yes,
Desk,45,Random,Random,Random,Yes,
Via,45,Random,Random,Random,Yes,
Flightlation,45,Random,Random,Random,Yes,
Though,45,Random,Random,Random,Yes,
Run,45,Random,Random,Random,Yes,
Appreciate,45,Random,Random,Random,Yes,
Sat,45,Random,Random,Random,Yes,
Family,45,Random,Random,Random,Yes,
Less,44,Random,Random,Random,Yes,
Saying,44,Random,Random,Random,Yes,
End,44,Random,Random,Random,Yes,
Human,44,Random,Random,Random,Yes,
Something,44,Random,Random,Random,Yes,
Food,43,Random,Random,Random,Yes,
Load,43,Random,Random,Random,Yes,
Assist,43,Random,Random,Random,Yes,
Lot,43,Random,Random,Random,Yes,
Place,43,Random,Random,Random,Yes,
Once,43,Random,Random,Random,Yes,
Switch,43,Random,Random,Random,Yes,
Nd,43,Random,Random,Random,Yes,
Community,43,Random,Random,Random,Yes,
Guess,43,Random,Random,Random,Yes,
Inform,43,Random,Random,Random,Yes,
Deal,42,Random,Random,Random,Yes,
Pl,42,Random,Random,Random,Yes,
Car,42,Random,Random,Random,Yes,
Aw,42,Random,Random,Random,Yes,
Maybe,42,Random,Random,Random,Yes,
Reach,42,Random,Random,Random,Yes,
Card,41,Random,Random,Random,Yes,
Destination,41,Random,Random,Random,Yes,
Spent,41,Random,Random,Random,Yes,
Maintenance,41,Random,Random,Random,Yes,
Happy,41,Random,Random,Random,Yes,
Re,41,Random,Random,Random,Yes,
Disconnect,41,Random,Random,Random,Yes,
Policy,40,Random,Random,Random,Yes,
Link,40,Random,Random,Random,Yes,
Waste,40,Random,Random,Random,Yes,
Found,40,Random,Random,Random,Yes,
Believe,40,Random,Random,Random,Yes,
Real,40,Random,Random,Random,Yes,
Chicago,40,Random,Random,Random,Yes,
Sleep,40,Random,Random,Random,Yes,
Oh,40,Random,Random,Random,Yes,
Phx,40,Random,Random,Random,Yes,
Nyc,39,Random,Random,Random,Yes,
Name,39,Random,Random,Random,Yes,
La,39,Random,Random,Random,Yes,
Request,39,Random,Random,Random,Yes,
Force,39,Random,Random,Random,Yes,
Cust,39,Random,Random,Random,Yes,
Always,39,Random,Random,Random,Yes,
Houston,39,Random,Random,Random,Yes,
Ok,39,Random,Random,Random,Yes,
Far,39,Random,Random,Random,Yes,
Unitedairline,39,Random,Random,Random,Yes,
Friend,38,Random,Random,Random,Yes,
Away,38,Random,Random,Random,Yes,
Longer,38,Random,Random,Random,Yes,
Drive,38,Random,Random,Random,Yes,
Price,38,Random,Random,Random,Yes,
Twitter,38,Random,Random,Random,Yes,
Joke,38,Random,Random,Random,Yes,
Hard,37,Random,Random,Random,Yes,
Dallas,37,Random,Random,Random,Yes,
Lack,37,Random,Random,Random,Yes,
Iah,37,Random,Random,Random,Yes,
Denver,37,Random,Random,Random,Yes,
Little,36,Random,Random,Random,Yes,
Iad,36,Random,Random,Random,Yes,
Hey,36,Random,Random,Random,Yes,
Went,36,Random,Random,Random,Yes,
Both,36,Random,Random,Random,Yes,
Heard,36,Random,Random,Random,Yes,
Given,36,Random,Random,Random,Yes,
Doing,36,Random,Random,Random,Yes,
City,35,Random,Random,Random,Yes,
San,35,Random,Random,Random,Yes,
Inconvenient,35,Random,Random,Random,Yes,
Empty,35,Random,Random,Random,Yes,
Charlotte,35,Random,Random,Random,Yes,
Around,35,Random,Random,Random,Yes,
Those,35,Random,Random,Random,Yes,
Lga,34,Random,Random,Random,Yes,
Refuse,34,Random,Random,Random,Yes,
Room,34,Random,Random,Random,Yes,
Together,34,Random,Random,Random,Yes,
Terminal,34,Random,Random,Random,Yes,
Ruin,34,Random,Random,Random,Yes,
Den,34,Random,Random,Random,Yes,
Add,33,Random,Random,Random,Yes,
Thx,33,Random,Random,Random,Yes,
Possible,33,Random,Random,Random,Yes,
Continue,33,Random,Random,Random,Yes,
Process,33,Random,Random,Random,Yes,
Total,33,Random,Random,Random,Yes,
Loyal,33,Random,Random,Random,Yes,
Each,33,Random,Random,Random,Yes,
Plus,33,Random,Random,Random,Yes,
Absolute,33,Random,Random,Random,Yes,
Screw,33,Random,Random,Random,Yes,
Snow,33,Random,Random,Random,Yes,
Thru,33,Random,Random,Random,Yes,
Wtf,32,Random,Random,Random,Yes,
Manage,32,Random,Random,Random,Yes,
Purchase,32,Random,Random,Random,Yes,
Computer,32,Random,Random,Random,Yes,
Upset,32,Random,Random,Random,Yes,
Form,32,Random,Random,Random,Yes,
Origin,32,Random,Random,Random,Yes,
Figure,32,Random,Random,Random,Yes,
Door,32,Random,Random,Random,Yes,
Leg,32,Random,Random,Random,Yes,
Fuck,32,Random,Random,Random,Yes,
Job,32,Random,Random,Random,Yes,
Hate,32,Random,Random,Random,Yes,
Standby,32,Random,Random,Random,Yes,
Watch,32,Random,Random,Random,Yes,
Automated,32,Random,Random,Random,Yes,
Airway,32,Random,Random,Random,Yes,
Big,31,Random,Random,Random,Yes,
Tv,31,Random,Random,Random,Yes,
Fll,31,Random,Random,Random,Yes,
Close,31,Random,Random,Random,Yes,
Reply,31,Random,Random,Random,Yes,
Yr,31,Random,Random,Random,Yes,
Hear,31,Random,Random,Random,Yes,
Chance,31,Random,Random,Random,Yes,
Fleek,31,Random,Random,Random,Yes,
Meet,30,Random,Random,Random,Yes,
Buy,30,Random,Random,Random,Yes,
Accept,30,Random,Random,Random,Yes,
Resolve,30,Random,Random,Random,Yes,
Transfer,30,Random,Random,Random,Yes,
Deliver,30,Random,Random,Random,Yes,
Idea,30,Random,Random,Random,Yes,
Mess,29,Random,Random,Random,Yes,
Customerservice,29,Random,Random,Random,Yes,
Mia,29,Random,Random,Random,Yes,
Case,29,Random,Random,Random,Yes,
Locate,29,Random,Random,Random,Yes,
Southwest,29,Random,Random,Random,Yes,
Crazy,29,Random,Random,Random,Yes,
Usair,29,Random,Random,Random,Yes,
Fleet's,29,Random,Random,Random,Yes,
During,28,Random,Random,Random,Yes,
Flyer,28,Random,Random,Random,Yes,
Layover,28,Random,Random,Random,Yes,
File,28,Random,Random,Random,Yes,
Promise,28,Random,Random,Random,Yes,
Carry,28,Random,Random,Random,Yes,
Group,28,Random,Random,Random,Yes,
Word,28,Random,Random,Random,Yes,
Yeah,28,Random,Random,Random,Yes,
Second,28,Random,Random,Random,Yes,
Bwi,28,Random,Random,Random,Yes,
Announce,28,Random,Random,Random,Yes,
Zero,28,Random,Random,Random,Yes,
Rt,27,Random,Random,Random,Yes,
Severe,27,Random,Random,Random,Yes,
Spend,27,Random,Random,Random,Yes,
Platinum,27,Random,Random,Random,Yes,
Matter,27,Random,Random,Random,Yes,
Turn,27,Random,Random,Random,Yes,
Clothes,27,Random,Random,Random,Yes,
Neveragain,27,Random,Random,Random,Yes,
Ice,27,Random,Random,Random,Yes,
Counter,27,Random,Random,Random,Yes,
Miami,27,Random,Random,Random,Yes,
Fault,27,Random,Random,Random,Yes,
List,27,Random,Random,Random,Yes,
Live,27,Random,Random,Random,Yes,
Question,26,Random,Random,Random,Yes,
Fine,26,Random,Random,Random,Yes,
Non,26,Random,Random,Random,Yes,
Supervisor,26,Random,Random,Random,Yes,
Incompetent,26,Random,Random,Random,Yes,
Apparent,26,Random,Random,Random,Yes,
Lets,26,Random,Random,Random,Yes,
Mco,26,Random,Random,Random,Yes,
Philly,26,Random,Random,Random,Yes,
Cool,25,Random,Random,Random,Yes,
Four,25,Random,Random,Random,Yes,
Bought,25,Random,Random,Random,Yes,
Intern,25,Random,Random,Random,Yes,
Dc,25,Random,Random,Random,Yes,
Report,25,Random,Random,Random,Yes,
Fare,25,Random,Random,Random,Yes,
Such,25,Random,Random,Random,Yes,
Pretty,25,Random,Random,Random,Yes,
Head,25,Random,Random,Random,Yes,
Entire,25,Random,Random,Random,Yes,
Bump,25,Random,Random,Random,Yes,
Rd,25,Random,Random,Random,Yes,
Water,25,Random,Random,Random,Yes,
Concern,24,Random,Random,Random,Yes,
Sad,24,Random,Random,Random,Yes,
Checkin,24,Random,Random,Random,Yes,
Current,24,Random,Random,Random,Yes,
Gold,24,Random,Random,Random,Yes,
Address,24,Random,Random,Random,Yes,
Overnight,24,Random,Random,Random,Yes,
Train,24,Random,Random,Random,Yes,
Asap,24,Random,Random,Random,Yes,
Unable,24,Random,Random,Random,Yes,
Reflight,24,Random,Random,Random,Yes,
American,24,Random,Random,Random,Yes,
Sunday,24,Random,Random,Random,Yes,
Sense,24,Random,Random,Random,Yes,
Soon,24,Random,Random,Random,Yes,
Glad,24,Random,Random,Random,Yes,
Life,24,Random,Random,Random,Yes,
Relate,24,Random,Random,Random,Yes,
Meal,24,Random,Random,Random,Yes,
Letter,24,Random,Random,Random,Yes,
Usairwaysfail,24,Random,Random,Random,Yes,
Americanairlines,24,Random,Random,Random,Yes,
Hand,23,Random,Random,Random,Yes,
Feb,23,Random,Random,Random,Yes,
Shit,23,Random,Random,Random,Yes,
Storm,23,Random,Random,Random,Yes,
Explain,23,Random,Random,Random,Yes,
Operate,23,Random,Random,Random,Yes,
Tire,23,Random,Random,Random,Yes,
Between,23,Random,Random,Random,Yes,
Control,23,Random,Random,Random,Yes,
Ny,23,Random,Random,Random,Yes,
Excuse,23,Random,Random,Random,Yes,
Lied,23,Random,Random,Random,Yes,
Record,23,Random,Random,Random,Yes,
Monday,23,Random,Random,Random,Yes,
Dividend,23,Random,Random,Random,Yes,
Hi,22,Random,Random,Random,Yes,
Ad,22,Random,Random,Random,Yes,
Vegas,22,Random,Random,Random,Yes,
Text,22,Random,Random,Random,Yes,
Im,22,Random,Random,Random,Yes,
Shame,22,Random,Random,Random,Yes,
Cant,22,Random,Random,Random,Yes,
Damage,22,Random,Random,Random,Yes,
Drink,22,Random,Random,Random,Yes,
Space,22,Random,Random,Random,Yes,
Learn,22,Random,Random,Random,Yes,
Sign,22,Random,Random,Random,Yes,
Atl,22,Random,Random,Random,Yes,
Held,22,Random,Random,Random,Yes,
Blame,22,Random,Random,Random,Yes,
Fact,22,Random,Random,Random,Yes,
Consider,22,Random,Random,Random,Yes,
Few,22,Random,Random,Random,Yes,
Accommodate,22,Random,Random,Random,Yes,
Whole,22,Random,Random,Random,Yes,
Extreme,22,Random,Random,Random,Yes,
Attitude,22,Random,Random,Random,Yes,
Thought,22,Random,Random,Random,Yes,
Notify,22,Random,Random,Random,Yes,
Prefer,21,Random,Random,Random,Yes,
Gonna,21,Random,Random,Random,Yes,
Gone,21,Random,Random,Random,Yes,
Svc,21,Random,Random,Random,Yes,
Aircraft,21,Random,Random,Random,Yes,
Wonder,21,Random,Random,Random,Yes,
Jet,21,Random,Random,Random,Yes,
Unfortunate,21,Random,Random,Random,Yes,
Tag,21,Random,Random,Random,Yes,
Newark,21,Random,Random,Random,Yes,
Cut,21,Random,Random,Random,Yes,
Stand,21,Random,Random,Random,Yes,
Nope,21,Random,Random,Random,Yes,
Badservice,21,Random,Random,Random,Yes,
Deplane,21,Random,Random,Random,Yes,
Ppl,21,Random,Random,Random,Yes,
Knew,21,Random,Random,Random,Yes,
Disgusted,21,Random,Random,Random,Yes,
Choice,21,Random,Random,Random,Yes,
Explanation,21,Random,Random,Random,Yes,
Lt,21,Random,Random,Random,Yes,
Situation,21,Random,Random,Random,Yes,
Office,21,Random,Random,Random,Yes,
Kind,21,Random,Random,Random,Yes,
Volume,21,Random,Random,Random,Yes,
Blue,21,Random,Random,Random,Yes,
Flew,20,Random,Random,Random,Yes,
Support,20,Random,Random,Random,Yes,
Share,20,Random,Random,Random,Yes,
Iâ,20,Random,Random,Random,Yes,
Select,20,Random,Random,Random,Yes,
Pull,20,Random,Random,Random,Yes,
Luck,20,Random,Random,Random,Yes,
Read,20,Random,Random,Random,Yes,
Correct,20,Random,Random,Random,Yes,
Top,20,Random,Random,Random,Yes,
Taken,20,Random,Random,Random,Yes,
Post,20,Random,Random,Random,Yes,
Suggest,20,Random,Random,Random,Yes,
Priority,20,Random,Random,Random,Yes,
Overhead,20,Random,Random,Random,Yes,
Cover,20,Random,Random,Random,Yes,
Submit,20,Random,Random,Random,Yes,
Spoke,20,Random,Random,Random,Yes,
Bna,20,Random,Random,Random,Yes,
Part,20,Random,Random,Random,Yes,
Seen,20,Random,Random,Random,Yes,
Swa,20,Random,Random,Random,Yes,
Tuesday,20,Random,Random,Random,Yes,
Entertain,19,Random,Random,Random,Yes,
Exist,19,Random,Random,Random,Yes,
Tix,19,Random,Random,Random,Yes,
Tsa,19,Random,Random,Random,Yes,
Fill,19,Random,Random,Random,Yes,
Front,19,Random,Random,Random,Yes,
Date,19,Random,Random,Random,Yes,
Cs,19,Random,Random,Random,Yes,
Bs,19,Random,Random,Random,Yes,
Beyond,19,Random,Random,Random,Yes,
Push,19,Random,Random,Random,Yes,
Window,19,Random,Random,Random,Yes,
Expire,19,Random,Random,Random,Yes,
Middle,18,Random,Random,Random,Yes,
Step,18,Random,Random,Random,Yes,
Hire,18,Random,Random,Random,Yes,
Web,18,Random,Random,Random,Yes,
Notification,18,Random,Random,Random,Yes,
Notice,18,Random,Random,Random,Yes,
Flown,18,Random,Random,Random,Yes,
Behind,18,Random,Random,Random,Yes,
Club,18,Random,Random,Random,Yes,
Came,18,Random,Random,Random,Yes,
Itinerary,18,Random,Random,Random,Yes,
Mileage,18,Random,Random,Random,Yes,
Worry,18,Random,Random,Random,Yes,
Reimburse,18,Random,Random,Random,Yes,
Badcustomerservice,18,Random,Random,Random,Yes,
Attempt,18,Random,Random,Random,Yes,
Detail,18,Random,Random,Random,Yes,
Ready,18,Random,Random,Random,Yes,
High,18,Random,Random,Random,Yes,
Flightation,18,Random,Random,Random,Yes,
Failure,18,Random,Random,Random,Yes,
Takeoff,18,Random,Random,Random,Yes,
Worth,18,Random,Random,Random,Yes,
Myself,18,Random,Random,Random,Yes,
Clean,18,Random,Random,Random,Yes,
Short,18,Random,Random,Random,Yes,
Except,18,Random,Random,Random,Yes,
Probably,18,Random,Random,Random,Yes,
Route,18,Random,Random,Random,Yes,
Sw,18,Random,Random,Random,Yes,
Play,17,Random,Random,Random,Yes,
Page,17,Random,Random,Random,Yes,
Awesome,17,Random,Random,Random,Yes,
Country,17,Random,Random,Random,Yes,
Under,17,Random,Random,Random,Yes,
Access,17,Random,Random,Random,Yes,
Suitcase,17,Random,Random,Random,Yes,
Husband,17,Random,Random,Random,Yes,
Small,17,Random,Random,Random,Yes,
Slow,17,Random,Random,Random,Yes,
Useless,17,Random,Random,Random,Yes,
Huge,17,Random,Random,Random,Yes,
Anymore,17,Random,Random,Random,Yes,
Break,17,Random,Random,Random,Yes,
Equipped,17,Random,Random,Random,Yes,
Bother,17,Random,Random,Random,Yes,
Unhappy,17,Random,Random,Random,Yes,
Track,17,Random,Random,Random,Yes,
Catch,17,Random,Random,Random,Yes,
Award,17,Random,Random,Random,Yes,
Experienced,17,Random,Random,Random,Yes,
State,17,Random,Random,Random,Yes,
Sick,17,Random,Random,Random,Yes,
Assign,17,Random,Random,Random,Yes,
Surprise,17,Random,Random,Random,Yes,
None,17,Random,Random,Random,Yes,
Fl,17,Random,Random,Random,Yes,
Media,17,Random,Random,Random,Yes,
Plz,17,Random,Random,Random,Yes,
Bring,17,Random,Random,Random,Yes,
Dollar,17,Random,Random,Random,Yes,
Yall,17,Random,Random,Random,Yes,
Expense,16,Random,Random,Random,Yes,
Trouble,16,Random,Random,Random,Yes,
Mobil,16,Random,Random,Random,Yes,
Cabin,16,Random,Random,Random,Yes,
Fun,16,Random,Random,Random,Yes,
Others,16,Random,Random,Random,Yes,
