airline_sentiment,text
positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
positive,@VirginAmerica always!!! Xoxo
positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
positive,0
positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
positive,@VirginAmerica Only way to fly! #Elevate #Gold
positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
positive,@VirginAmerica thanks!
positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
positive,@VirginAmerica Keep up the great work :)
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
positive,0
positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
positive,@VirginAmerica thanks so much!
positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
positive,@VirginAmerica Very nicely done. 👏
positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
positive,@VirginAmerica sounds like fun !
positive,0
positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
positive,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
positive,@VirginAmerica I see what you did there ;)
positive,@VirginAmerica your inflight team makes the experience #amazing!
positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
positive,0
positive,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
positive,@VirginAmerica Thank you!!
positive,0
positive,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
positive,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
positive,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!"
positive,@VirginAmerica happy to spend the day together. Let's do this!
positive,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps
positive,0
positive,0
positive,@VirginAmerica @SSal thanks!
positive,@VirginAmerica Thanks!
positive,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel
positive,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
positive,0
positive,0
positive,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!"
positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
positive,@VirginAmerica ok! first time flying with you tonight :)
positive,0
positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
positive,0
positive,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
positive,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!
positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
positive,@VirginAmerica that doesn't look to fat to me! It looks yummy!
positive,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️
positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :)
positive,0
positive,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI
positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
positive,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!
positive,0
positive,@VirginAmerica got it. All set - Thanks!
positive,0
positive,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!"
positive,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker
positive,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
positive,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
positive,0
positive,0
positive,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!
positive,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49
positive,0
positive,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
positive,@VirginAmerica Congrats VX on the new route! ✈️🎉
positive,0
positive,@VirginAmerica That's classy.
positive,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.
positive,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍
positive,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather
positive,0
positive,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX"
positive,0
positive,@VirginAmerica I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.
positive,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!
positive,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h
positive,@VirginAmerica Dad on Segway is the best part of this whole infographic!
positive,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :)
positive,0
positive,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience"
positive,"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)"
positive,@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin
positive,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.
positive,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings
positive,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome
positive,0
positive,0
positive,@united Thanks for taking care of that MR!! Happy customer.
positive,@united thanks -- we filled it out. How's our luck with this? Is it common?
positive,0
positive,0
positive,@united follow me please this airline is beautifull ♥
positive,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated
positive,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer."
positive,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU"
positive,0
positive,@united I flew United last month and the experience was AWESOME!
positive,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat."
positive,@united for the record- Rozana at Newark was lovely and helpful. #choosekind
positive,0
positive,@united despite my bag not making it to Newark good informative email tracking updates help!
positive,"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy."
positive,@united private jet would have been cool! Do does not work. I'll try again
positive,"@united thanks, just sent :)"
positive,"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round"
positive,0
positive,0
positive,@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.
positive,@united Every United flight between Saipan and Guam is an adventure! You never know when @CapeAir's old plane will be operational :)
positive,0
positive,0
positive,0
positive,@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care
positive,"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!"
positive,@united you are one great airline ❤️
positive,“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!
positive,@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!
positive,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)"
positive,0
positive,@united you too!
positive,0
positive,@united man I can't wait to book my ticket now! Thanks JP you're a life sabe
positive,@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM
positive,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY
positive,0
positive,@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f
positive,0
positive,@united I appreciate your efforts getting me home!
positive,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
positive,0
positive,@united thanks we'll be in touch!
positive,@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!
positive,0
positive,Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”
positive,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain"
positive,@united These are great fares!!!!!
positive,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.
positive,@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother
positive,0
positive,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3
positive,@united Thank you for responding so quickly with a helpful tool! @dustyob
positive,@united Thank you. Took care of everything and made it right. That's the experience I'm used to. Opened the app to find flight changed.
positive,@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs
positive,@united Thank you!
positive,@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0
positive,0
positive,0
positive,0
positive,Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”
positive,0
positive,0
positive,@united Big thanks to Ms. Winston for assisting me over the phone with a baggage claim issue today. She really went the extra mile!
positive,"@united I will, as soon as I am done with my article.  Thanks!  ~Tom"
positive,@united Ok thank again for your help!
positive,@united flight 1491...plane from SFO to DEN is basically on time.
positive,@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.
positive,0
positive,"@united that would help! or how about integrate it into the App so I can just ""activate"" it and surf..."
positive,@united thank YOU for your kindness. Your agents went above &amp; beyond to get my stranded family home.
positive,@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE
positive,@united ok thx!
positive,0
positive,@united counter agents at RDU deserve a medal. #thankyou
positive,0
positive,@united that's brilliant Thankyou so much. Is it classed as part of carryon?
positive,0
positive,@united Great! I'm ready to go home.
positive,@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail
positive,0
positive,@united Thank you! You need to follow back tho otherwise I can't DM you. X
positive,@united Just sent! Thanks :)
positive,@united thank you very much for the help. We're do I pick up my bags aspen airport &amp; are they coming in today on flight911
positive,@united would love help getting there today. In #EWR now. Will take any airline and connections. Thx
positive,@united thank you!
positive,0
positive,@united just confirmed a seat! Crisis averted! Beers won't be missed now
positive,0
positive,@united The DEN b44 agent (9:30am) was amazing. The MPAgent at check in? She sucks. @seanMFmadden @PeterStraubMMA @jmercadoMMA @TonySimsMMA
positive,@united traveling with @MegZezzo who is injured. Gate agent in Chicago was awesome helping her. TY #roadwarrior
positive,@united Thanks!
positive,"@united been solved,  they finally picked up the second time I called,  thanks for the response JH!  7:21 to dulles works!"
positive,@united has the best customer experience via twitter - huge fan!!!
positive,@united love the new 1st class breakfast!
positive,@united Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!
positive,@united flew from sdf to ATL to Tampa on Delta. Left early. Arrived early. Crew helpful. Wifi worked!!
positive,0
positive,@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight
positive,0
positive,0
positive,@united EWR agent Barbara was FABULOUS and an example of CUST. SERV. A pleasure talking to you😊 http://t.co/KMQuLY9g5E
positive,0
positive,0
positive,"@united hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!"
positive,0
positive,0
positive,0
positive,@united you're my early frontrunner for best airline! #oscars2016
positive,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky
positive,0
positive,@united I have 8 flights with you in the next two weeks :) let's make some good memories!
positive,@united he is so excellent and so reliable :) #happycustomer
positive,@united it was delivered! Thank you for making sure it arrived at my doorstep!
positive,“@united: Looking for a reason to travel? #quote http://t.co/GGuIg3t28z”
positive,@united thank you!
positive,@united I was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other Cancelled Flightlations.
positive,"@united Thanks! LOL! #UA6259 will wait for us. Per @flightaware, same tail number as #UA5525 :)"
positive,0
positive,"@united They let us know in advance of the reboot, yes :) Thanks for the attentiveness!"
positive,0
positive,@united social media team is on point on #OscarNight :)
positive,@united thank you for following up!
positive,0
positive,@united Denver baggage handlers you totally impressed us today. Our lungs barely made the run to connect but our bags had no problem! #DEN
positive,0
positive,@united can Cancelled Flight my flight anytime if this is where they keep me for the night.. http://t.co/avRTOWTyzk
positive,@united thanks for updating me about the 1+ hour delay the exact second I got to ATL. 🙅🙅🙅
positive,@united Resolved. Over hour of work on  ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.
positive,@united and to add to my earlier tweet. This was my daughters 5th Bday present. Thank you for the hard work and making it happen.
positive,@united you have a guy named Otis at ORD that knows what #customerservice is. he was able to get my bag to me. I upgraded just to be sure
positive,0
positive,@united nope. Even better there were 4 seats. And due to W&amp;B first to raise hands got to move up. I wasn't fast enough.
positive,@united look at this beauty 😉 dc-10 united airlines 😉 Hope you like this beauty 😉 http://t.co/NS1aCFqCdQ
positive,@united it was such a lovely part of this long day - attendants on UA5168 (most) /UA795 were beyond exceptional today. #GiveThoseLadiesRaise
positive,@united I trust you enough to put my coat in my checked bag!
positive,0
positive,@united thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!
positive,@united Thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!
positive,@united went to Customer Service kiosk and they were able to help out! Still thanks for following up!
positive,0
positive,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos."
positive,@united I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.
positive,"@united thx off the response, finally got through the 45 min wait and talked to someone."
positive,"@united Thx, just DM'd. Conf #'s MQXC64 &amp; MPWNC2. Any help appreciated"
positive,@united this is why I fly @SouthwestAir ... Never have any issues
positive,@united great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!
positive,0
positive,@united thanks. Just got on a couple of minutes ago. Great service on flight 479 btw. Please pass it to the team on that flight.
positive,@united your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!
positive,0
positive,0
positive,0
positive,@united amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.
positive,"@united just touched down in Miami - not too far off , Nicely done united 👍"
positive,0
positive,0
positive,@united finally got through and they were very helpful. Appreciate it!
positive,0
positive,@united THANK YOU!
positive,@united worked out after all. Thanks for your immediate reply!!
positive,0
positive,@united thanks for leaving our 3 year old in his own row flight 360 LAX-IAD
positive,0
positive,Very quick! TY. @united: @auciello I am sorry to hear this. Can you please follow and DM me the details of what transpired? ^JH
positive,@united just did! Thank you!
positive,@united thank you!
positive,@united I am - thank you!
positive,@united thank you for flying me out of the mess at IAD and out to San Diego. http://t.co/tlPBaupIk5
positive,"@united Thank you but the person in Houston could only get me a flight routing through Newark, NJ and I'm going to SFO"
positive,0
positive,@united one lady helping the 12 of us with luggage
positive,0
positive,0
positive,@united thanks for the epic service on 863- always a pleasure- outstanding crew http://t.co/trqlpeinzW
positive,@united Life goal: complete ✔️
positive,0
positive,0
positive,@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk
positive,@united What a really GREAT &amp; FLATTERING story about you! You should be very proud :) http://t.co/7br5t5QCXk (via @ParachuteGuy)
positive,0
positive,@united 732 from Denver. We just boarded! Fingers crossed we get into the air!!!
positive,0
positive,@united Hubby made it by the skin of his teeth!   :)
positive,@united thank you! Excited to be working with you guys!
positive,@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR
positive,@united that's great! pls let me know when u start!
positive,@united thanks ... not sure arranged move to the earlier flight but I'm at the gate with a seat assignment.  Super nice agent at gate C4 ORD
positive,0
positive,0
positive,"@united Yes, they did. Must have fixed the broken ramp. Thanks!"
positive,0
positive,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!
positive,0
positive,0
positive,@united thank you for compensating us for our 4 lost bags. We will fly with you again! #UnitedAirlines
positive,@united I JUST ASKED MY BOYFRIEND TO PROM OVER THE LOUDSPEAKER ON FLIGHT 494 HE SAID YES!!!! BEST DAY EVER!!! THANK U SO MUCH!!!!!!
positive,So appreciated! @united
positive,@united Hmmm...seems like this could be something to be changed to be more #flyerfriendly.
positive,@united No problem just follow me back so I can! Thank you!
positive,@united this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!
positive,@united the upgrade to first class was a nice way to fix your earlier mistake. Thank you!
positive,0
positive,"@united Hi there, looks like my connection is delayed too so I'll make it. Thanks!"
positive,@united cldnt be happier w the many plastic wing pins given to me on flight 494. I love them! Amazing staff! So nice http://t.co/CbV7f3KBKx
positive,0
positive,0
positive,0
positive,@united 1632 was phenomenal frm gate (SEA) to gate (IAD)
positive,.@united Thanks. Hopefully this is easily resolved.
positive,0
positive,0
positive,"@united gave me a smile today, with a Zero Award... ;-) Computers have some sense of humour :-) http://t.co/JNqNbk7HuT"
positive,"@united All flights Cancelled Flighted :( Trip refunded without difficulty, staff extremely helpful, no complaints! Way to handle bad weather!"
positive,@united thank you for the help!!
positive,@united you're good. Thank you!
positive,"@united Wasn't frustrating! Well, not in any way reLate Flightd to y'all, anyway. Impressed that I made it."
positive,"@united oh, the Wi-Fi router is on top of the fuselage! ;)"
positive,@united Very impressed so far. An app that's worth a damn and sms updates on my flight.
positive,"@united thank you.
It's my daughters 13th bd party w/proj. weather cond, it doesn't look promising.
Please assist with earlier flts to Cmh?"
positive,0
positive,@united good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! http://t.co/9tbsJquw41
positive,@united is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso http://t.co/9mEOzBO4xl
positive,@united provide a voucher for one of my customers and I will tweet about you all day long #earnedmybusiness
positive,0
positive,@united service by staff was great as usual. Cleanliness and smells a bit much. I'll be back. #satisfied traveler
positive,Hey @united you've upgraded me on a 10 hour International flight. I forgive you :-) thank you!
positive,@united yes to more food! Add some gluten free options while you're at it
positive,@united  thank you for a great flight in gfc :) Cheers http://t.co/nvLnGLnMGN
positive,@united They held the plane! Made it!!
positive,0
positive,@united nice and early back home! http://t.co/geG4nghmIE
positive,@united I hope so too :)
positive,@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace
positive,"@United, will you fill it? Yes they will. Thanks! #BringYourOwn, @kleankanteen http://t.co/daaa0rqBXW"
positive,.@united This flight attendant was extremely helpful to a woman who had a hard time walking. Very touching!
positive,0
positive,"@united Brian at SFO customer service deserves a raise, gave me extra meal voucher and a good joke to cheer me up after flight delay. #FTW"
positive,0
positive,0
positive,0
positive,@united kept me watching the safety video for the first time in forever. Nice job 👍.
positive,@United thanks to Lea in the Chicago office for her help in switching our Cancelled Flighted flights!!
positive,@united Thank you so much for your help with my birthday trip! Tickets are confirmed! :-)
positive,0
positive,"@united Great landing in Denver, next Rapid City. Snow starting to fall...Florida Everglades is a faint sunburn away...here comes the cold!"
positive,@united Looking forward to flying with you guys as well !!
positive,0
positive,@united. You guys made my day. Treated me well. Thank you!!!
positive,"@united Don't know her last name, but Karen at your call center is terrific.  Friendly, helpful.  Terrific representative. Kudos."
positive,"@united thank you! Good service, safe flight... 1/2 way home!"
positive,0
positive,"@united I may not hit any new status this year, but I’ve flown several times this year and have tried to book with y’all every time!"
positive,@united I just received notification of in-flight Wi-Fi for UA863 from @flySFO to @SydneyAirport. Amazing!
positive,@united give her the recognition she deserves!
positive,@united she's the type of person that can make a customers day! I fly 100+ times a year &amp; she's one of the top flight attendants I've had!
positive,@united you suck. @SouthwestAir you're the best.
positive,0
positive,@united thank you for the reply.  I will fill out the form and submit it as requested.  Good to know you're paying attention!
positive,0
positive,@united wins top marks for customer service via Twitter. They turned a poor experience into a positive. Many thanks for the effort! 👍
positive,"@United flight experiences R often frustrating, but 2day on UA5184 from CHI to WPG flight attendant April was #amazing! She's 1 of the best!"
positive,@united free booze for the Bach party would make it better!  ORD--&gt;MSY #Delayed #Again   We will enjoy either way.  Thanks!
positive,@united all good man it isn't your fault that plane is having maintenance issues
positive,“@united: @BattierCCIpuppy Your puppy is so cute. We look forward to having both of you on board. Thanks for the high five. ^EY” 👏👏
positive,@united When are you coming back to @IFlyOAKland? You have a huge East Bay customer base due to SFO and *I* miss you!
positive,@united : thanks! i will catch my conection! :)
positive,0
positive,@united thanks for moving my dad on to my my mom's flight. You helped make his birthday start with #FriendlyFriday Awesomeness! 4 paws up!
positive,“@united: @d_goodspeed We will follow up with our Maintenance team. Thanks for the tweet. ^KP” THANK YOU!  United Cares!
positive,0
positive,@united thank you thank you thank you for contacting me. Thank you for the offer of a $1000 travel certificate #unitedairlines
positive,0
positive,@united perfect! That works! Thank you!
positive,0
positive,0
positive,@united On the plane but thanks! Maybe don't let so many people check in by themselves - teeming with morons.
positive,0
positive,@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.
positive,@united Thanks!
positive,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.
positive,@united appreciate the sentiment and you were able to get me off the ground;still missed connection
positive,Thank you @united for your prompt assistance.
positive,0
positive,@united Baggage check in and in flight crew the friendliest ever Flight#417 ogg to Lax !!!
positive,@united Thank you for your offer! All sorted out :-)
positive,@united I think this is the best first class I have ever gotten!!  Denver to LAX and it's wonderful!!!
positive,@united of course not. The inflight crew was great!
positive,"@united well played, ^LO."
positive,0
positive,0
positive,"@united thank you so much, that helps a ton. Whoever is on this Twitter acct today deserves a handshake and a hot chocoLate Flight. #problemsolvers"
positive,@united can't wait!!! 787!!! @tpallini http://t.co/oDlall5eDH
positive,@united love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied
positive,@united thnx!
positive,"@united Aw, thanks for the kind words. Totally makes these extra 6 hours sitting in an airport SOOOO much better."
