Location,Count
"Wilmington, Delaware",3
US,9
Beijing,1
North West of England,10
"Brownsville, Tx",1
New York/New Jersey,3
"Lexington, Ky",2
New York/New Jersey depends on,2
"176 Thomas Johnson Drive, #204",1
Toronto,22
"San Francisco, Ca",4
SD || CA   ,1
"Vancouver, CA",5
St. Louis MO,1
Los Angeles ,7
EP TX,1
Washington D.C. ,3
"Buffalo, Ny",2
"ÜT: 31.333857,-94.724549",1
Danville CA,2
"Monkton, Maryland ",2
Rose Bubble,1
"52.315477,4.995852",1
#ygk,1
"Tampa, Florida",8
Toronto Area,3
the cupboard under the stairs,1
"Beijing, China",3
"san francisco, ca",1
"Medford, MA",2
"Rockaway, NJ",1
"Akron, Ohio",5
"CO Springs, Occupied Colorado",3
"ÜT: 33.987103,-118.399024",3
"Palo Alto, CA",1
Utah,3
"New York & Washington, D.C.",1
"Boulder, Co",1
Ireland,2
"Hillsborough, NC",1
"Queens, NY",5
"Iowa City, IA",5
"Chapel Hill, NC",5
"Charleston, WV",1
Everywhere,12
"Vienna, VA",3
Home,1
NYC/Secaucus ,1
Toronto Canada,1
North,1
"Cincinnati, OH",5
"ÜT: 40.729379,-74.002951",1
Long Island,8
"Kingston, Canada",6
The Town,1
"Martinsburg,WV",1
New York | Chicago,2
"driving, probably",2
moving forward... ,1
michigan ,1
Northern Ireland,2
earth,4
STL,6
Nederland,2
Saint Louis,3
"Buffalo, NY",11
Pittsburgh ,2
"Leesburg, VA, USA",1
Corpus Christi,6
Global- Mostly Silicon Valley,2
"Chicago, Illinois",2
"ÜT: 41.88849,-87.6282",2
"Shreveport, Louisiana",2
"Portland, Zurich, Richmond",1
Chicagoland,6
Europe - America,1
"London, ON",2
"ÜT: 39.39339,-76.762595",2
"Greensboro, NC",1
"Bedford, NH",6
Richmond Virginia ,1
"WASHINGTON HEIGHTS, NYC ",1
Ft Collins ,3
"Solent - Hamble, Lymington",1
"Watertown, MA",2
anywhere but CStat,1
"Oak Park, IL ",1
Aylesbury United Kingdom,1
"ÜT: 42.986193,-87.914855",1
"Washington, DC via Nebraska",1
Cheltenham,2
"Melbourne, Australia ",1
Massachusetts  ,2
QCϟDC,1
Saskatoon,1
"Phoneix, AZ",2
New York NY,1
SE AZ By Way of HV,4
"Brandon, Mississippi",1
"Morton, IL",1
deep in the ❤ of Texas...,5
"Mountain View, CA ",1
?????,1
Dirty Jerz,1
Nueva York,4
"Stavanger, Norway",4
Southern California and Hawaii,4
New Hartley,1
"New York, USA",3
"Hingham, MA",1
"Loveland, Ohio",1
Kingwood,3
"West Columbia,SC",1
"Quito, Ecuador",1
201-600-2130,2
"ORLANDO, FL",3
"Keyport, New Jersey",1
"Fredericksburg, VA",5
Tour Bus or Airplane/ Hotel,1
Central NJ,4
FL,3
Irving Texas,2
"Portsmouth, NH",4
"Indianapolis, IN",6
Bellaire TX,1
Oklahoma,5
"Alexandria, VA",13
Rhode Island,19
"Bechtelsville, PA",1
AustinTX-AUS/CaliColombia-CLO,1
"Atlanta, GA",25
43206,2
"Medway, MA",1
"Columbus, Ohio, USA",1
"Winnipeg, Manitoba",4
wdc,1
Edinburgh,2
Happy Valley,1
South Seaside Park/Puerto Rico,1
"Oxford, MS",6
"Rio Grande Valley, Texas",2
the burgh,2
Grimsby - UK,5
"fort worth, tx",1
"Williamsburg, Brooklyn",1
Rochester,1
whore island ,2
Hong Kong,7
"Virginia, USA",2
"Huntington, WV",2
"Atlantic Highlands, NJ",5
the district of colombia,1
Metro DC Area,1
"ÜT: 43.492878,-96.790916",1
Curitiba,3
senior / mount airy,1
Seattle WA,5
Bedford 2015 Plymouth 2019,1
Belgium,1
WDVE PITTSBURGH,1
"Raleigh, North Carolina, USA",1
Guatemala,1
Terra Prime,1
#Westford #marketing ,5
"Bedford, Nh",3
"Berlin, Germany",1
"Honolulu, HI",1
sf - austin - sydney,4
Little Rhody,5
"Potsdam, NY",1
"Yokohama, Japan",2
☁️,4
Blue Area of the Moon,8
"Washington, DC. ",3
"Kalispell, MT",1
"Vancouver, BC",3
"Brookline, Massachusetts",1
"Branford, CT",1
"Wake Forest, NC",8
"Venice, CA",1
somerville nj,2
Kaizen 改善,3
Htown,1
just living the dream ,4
Greater Seattle Area,1
"Vancouver, Canada",5
"Montana, God's country
",2
Washington-Vancouver-Medellín,3
"Ottawa, ON",6
PDX / LGA / TXL / ✈,4
Sweden,1
"arlington, va",1
Coastal,2
401 SK,1
Belfast/Boston,1
Saskatchewan ,1
"Cambridge, MA, USA",8
"Ocean, NJ",1
Philly Burbs,2
"Columbus,Ohio",2
"Austin, Tx",1
"Vernon Hills, IL",1
toronto,5
pensacola,1
"Montreal, Quebec CA",2
"Sydney, Australia",3
"Foster City, CA",1
Boise,2
Beijing | Los Angeles,1
Heart of America,1
Pittsburgh,6
A Californian in London,3
"Virginia/Metro Washington, DC",1
"Mexico City, Mexico",2
Muswell Hill,1
Wonderland,5
What day is it?,1
South Australia,3
Gooner,1
"iPhone: 0.000000,0.000000",2
"Seattle, WA / 36,000 feet",3
midwest and sometimes Spain,4
Boston MA,1
"Minnesota, USA",4
GORGEOUS UNIVERSE,1
The Garden State,2
"Bethlehem, PA",2
England,3
"Fresno, CA",1
"Madison, WI",6
"Grand Rapids, Michigan",2
"31.790466, -85.971558",2
America,4
SoCal,3
Rochester NY,2
"Central Sq. Cambridge, MA",1
"Forest Grove, OR",2
"Vancouver, BC
",1
San Diego ,1
"Silicon Valley, CA",2
"ÜT: 39.768182,-86.167261",1
washington dc,3
"Beautiful Stockton, CA",4
"Atlanta, GA & St Augustine, FL",2
"Middlebury, VT",2
"Rixensart, Belgium",1
NOLA Reb,2
nyc,9
Pursuit of Happiness,9
NJ,6
NYC & SEAsia,1
Gig Harbor,3
• Lacrosse ||'17|| Football •,1
ONTARIO CANADA,3
"Salt Lake City, UT",8
"Calgary, Canada",1
"Apex, NC",2
SoMD,1
"Ontario, Canada",7
"Aliso Viejo, CA",2
"Enfield, CT",1
Canton Mass,1
Ohio,15
"iPhone: 50.079998,14.441111",1
"Here, There or En Route, ",1
UK,17
In First Class,2
YYC,2
Upper East Side,1
"State College, PA",1
"Springfield, MO",4
"Cloud City, MA",1
"Manassas, Virginia",1
here,1
"Nashville, TN      +309+ +320+",1
"ÜT: 42.706796,-71.210754",1
Little Rock,1
"Norman, OK",1
"Park City, UT",1
"Lake City, MN",1
Houston,20
Amsterdam/Malibu,1
"New York, US; Tanzania, Africa",1
Orleans/Tarpon Springs/London,4
"Shanghai, China",1
London-Manila,1
"Tulsa, OK",8
Email: Alex@ditmasla.com,1
Coming to a City Near You,2
"Kearney, Nebraska",3
chicago IL,5
ridin' da food train,1
Cincinnati,5
Redmond WA ,1
"Omaha, Nebraska",4
Washington,2
Anywhere someone needs me,2
"Plymouth, IN ",1
"Vail, CO",5
Wisconsin to Worldwide,1
O H I O,2
The abyss ,1
Ho-Flo/Columbus/NYC,3
Exactly where I want to be!,1
With Carmen SanDiego.,1
Lea Michele,1
"Fort Lauderdale, FL",4
"Bellingham, WA",2
DFW area texas,1
"Obersulzbach, Germany",3
"Edmonton, Alberta, Canada",2
Silver Spring,4
Location: constantly changing!,1
TRACK ,1
Someplace saving something,5
Rutgers Business School - NB,1
Crowborough,1
"Hilton Head, SC",1
"Elmira, NY",5
NY & NJ,1
"Boston, Massachusetts",5
"Boulder, CO | Los Angeles, CA",2
"Evanston, IL",3
In & Around Chicago,1
West Virginia,4
Buck-hio,1
Chapel Hill,3
Minneapolis,2
"Omaha, NE",7
"Winnipeg, MB Canada",3
"washington, dc",12
"Los Angeles, CA (via Philly)",3
Denver,14
New York | Nomad,2
"Grand Junction, Colorado",1
"MN, MI, NM",1
"Kenosha, WI",3
"Clifton, NJ",1
"ÜT: 38.763515,-77.718226",1
Greater New York City Area,1
the nation's capital,1
Radford HS,1
"Sacramento, CA",6
"Powell, OH",1
"#avgeek, United 1K",1
"Culver City, CA",2
Oakland,1
"Purcellville, VA",6
Deutschland,1
Aberdeen,1
Edinbrah ,5
Montana,1
"Baltimore, MD",16
San Francisco ,1
New York State,2
"Charleston, SC",11
Portland,1
Corrupt California,1
Being not the one,1
"Washington, DC ",1
Tri State NY area...,5
The Gaming Cartel,2
Santa Barbara CA,1
D.C.,5
Chicago & Worldwide,1
YHZ,2
South Texas,3
"Celebration, FL ",3
"Toronto, ON",3
"Minneapolis, MN",12
"Red Bank, NJ",3
Mammoth Lakes ,1
The Commonwealth of Virginia,1
"Chew Valley, North Somerset UK",1
"Newark, NJ",4
"Louisville, KY",7
"Benice Veach, CA",1
"Studio City, CA",1
Calgary,1
Easley SC,2
"Columbia, MO",4
"Texas, duh! ",1
Tetbury,1
Manassas VA,1
"ÜT: 40.635407,-73.991869",3
"New York City, baby",1
"Washington, DC - USA",2
"New York, New York",31
"Off: NYC, Home: Hoboken, NJ",3
"Chicago, IL ",4
Mexico,2
Kalamazoo & Chicago,1
"Orlando, FL",4
Ohio (by way of Nebraska),3
"New York, Ny",1
"Lehigh Valley, PA",2
"las vegas/nashville, TN",6
Phila. PA,1
"London, UK",6
NYC.  Sports.,1
Los Angeles/Charlotte,1
FUCK CANCER,1
Naperville,1
houston paris nyc ,1
"38.04591,23.769275",1
"santa barbara, CA",1
minneapolis,2
"Warsaw, Berlin, Kiev ",1
London via Adelaide,1
Birkenhead upon Hudson,2
Bellevue Washington,1
SoCal is where my mind stays,2
Yonkers NY,1
fuckin portland ass oregon,1
DC/SF/BFLO,5
Arlington Virginia,2
"Nanjing, China",1
"Raleigh-Durham, NC USA",1
Raleigh,2
"Chicago, Illinois.",5
Ottawa/St.Louis,2
Where the miles are,1
Indy,2
LA / NYC,1
"Allentown, PA",1
"sunnyvale, ca",1
"Louisville, KY. ",1
"Carmel, IN",4
Cleveland,2
"ÜT: 38.988512,-77.161145",1
PA,8
Minnetonka,1
Las Vegas & Atlanta,3
"Jacksonville Beach, FL",3
Everywhere!,1
Nicaragua,3
lexington KY,2
htx,1
"Irvine, CA",1
"Houston, TX, USA",2
Texan in Los Angeles ,1
"Detroit, Michigan ",2
"Somerville, MA",3
"Madison, wi",3
Canmore,9
BTR/DCA/IAD/MSY - etc,20
San Juan Capistrano,1
"iPhone: 40.732048,-73.994102",3
America's Dairyland,2
Look behind you,2
860,1
Somewhere west of Chicago,1
"BOS, SFO, NYC, ++",1
"Silver Spring,MD",1
Brazil,2
"Hudson Valley, NY",2
Chicago and an airplane ,1
Mysore : London : New York,1
"bettendorf, ia",1
"Oak Park, IL",1
Fort Wayne,2
"Monett, MO",1
Dallas/Eugene,1
I'm just a kid from Oak Harbor,3
Greater New York Area,1
"Bushwick, Bkln",1
ny,7
new york city ,2
"iPhone: 41.871374,-72.497792",1
"iPhone: 40.773155,-73.872490",3
Denver Colorado,1
São Paulo / Brasil,3
"Almere, The Netherlands",1
"LA | SF | Bicycle | 38,000'",2
North Jersey,3
"Walnut Creek, CA when I'm ther",1
France,1
East&West Coasts & the South,1
"Costa Mesa, CA",3
"Chicago, Il",3
"On a couch, with a computer.",1
Germany,4
"Near Washington, DC",1
"Ventura, California",3
Washington DC Metro Area,1
"Winchester, MA",1
"Houston, Tx & Old Bridge, NJ ",1
New York City (Silicon Alley),3
Bangalore,2
"Wisconsin, ya know",2
"raleigh, nc",1
"Rosenberg, Texas",1
CT • MINDLESS EP ON SALE! ⬇️,2
"Jersey City, NJ",8
"Ratner Companies, Hair Cuttery",2
Jerusalem-London-Antwerp,3
Paris,2
Monterrey ,1
Amsterdam,2
"Boise, Idaho",1
"Lexington, Kentucky",1
"shanghai, china. ",1
SYD▫️,1
London Heathrow.,1
"ÜT: 37.748534,127.066482",1
"Keauhou, Hawaii USA",2
roblox.com,4
NYC - DC - LA,1
Sydney Australia ,1
CLE ,1
Panamá,2
"Mill Valley, CA",2
Colombia,4
"Philadelphia, PA",38
Fredericton NB,5
"East Hanover, NJ",1
"Brisbane, Australiaaa!",3
"Rozelle, NSW",1
Sydney,1
D.C.ish ,2
"Q's, Staples Center",1
"ÜT: 38.006902,-78.502005",1
Dodging Traffic,1
"California, US",2
EIN: 27-0575748 -New York -USA,2
"Port Townsend, WA",1
"Englewood, Florida",13
NC,3
"St. Louis, MO for now",1
Barcelona,2
"Bend, OR",1
"Elkhart, Indiana",3
Wherever. ,1
Memphis TN,2
Tweets = My Opinion,2
Cardiff and London,1
Sun Devil Territory,1
"Franklin, Tennessee",1
Virginia,14
"Oahu, Hi",2
"Lakewood, Colorado",1
Earth (for now...),1
"Chicago, Illinois ",1
"Texas, USA",5
"ÜT: 33.449738,-112.049072",1
Chasing Carmen San Diego,3
"Mobile, AL.",1
"Paramus, NJ",1
DFW & SF,2
"San Francisco Bay Area, USA",3
"Sacramento, CA / Columbus, OH",1
Born/Raised in 314/Home is 317,1
"columbus, oh",8
"Houston TX
",2
"New York, NY ",7
"Fremont, California",5
"Novi, MI",1
West Wickham Kent ! ,1
Instagram @thejetsetjulie,1
"Belle Mead, NJ",1
"LA, NY, Chicago & St.Louis",3
Amsterdam NL,1
"Raleigh, NC  SoCal",1
"Grand Junction, CO",1
on my iPhone,1
District of Columbia,3
"Orlando, Florida",5
"Wrigley, California ☀",1
Illinois,1
Brisbane,2
"New Canaan, Ct",6
Warsaw,1
Mill Creek HS,1
Needham,2
"Boise, ID",4
"NA, SA, Europe",3
Los Angeles & Vancouver,1
Founder @catapultgrp @ilikeoi,1
"Raleigh, North Carolina",2
All Over The World,14
"Bergen, Norway",1
"Wellesley, MA",11
Meridian ID,1
"Littleton, CO",4
Wherever the Army sends me,2
"Brentwood, CA",4
Gdansk / Manchester,2
"Alvechurch, Worcestershire, UK",1
"London, UK ",2
"Redhill, UK",1
wishing i was in Vernon,1
planet earth ,1
Flightlever 340,2
90210,1
"Montclair, NJ",1
NYC Area,1
"San Diego, CA by way of VA",1
"Northam Stand, Southampton",1
"Sarasota, Florida ",3
So Cal,4
"Brooklyn, New York",2
TEXAS,1
the questions district,2
A Texan in Toronto,1
OAK,2
New Orleans,7
Irvine,12
SLC | LA ,3
des moines,1
"Virginia Beach, VA",4
Kansas City,8
"Los Angeles, CA and the world.",1
"Space City, Hong Kong, NOLA",1
Napa,1
└A,1
"Amsterdam or 30,000 Feet",1
"Arlington, Texas",1
"Johnstown, Ohio",1
Memphis,11
"Hampton Roads, Virginia",3
"Berkeley, CA",1
Usually in a plane,4
San Antonio,4
"Wichita, KS",3
✈,1
"Crowley, Louisiana",1
The Netherlands,7
between Warsaw and London,1
"NYC, Toronto ",4
"Conway, AR",4
Costa Mesa,2
"Baton Rouge, LA",3
"San Bruno, CA",1
Nova Scotia,2
Southern New Jersey,3
"Germantown, MD",1
Loving the Languageof Literacy,3
Sacramento,2
"North Hollywood, CA",2
"Titletown, USA",1
"chicago, il",2
Ravens Nation  51814,1
NoVa,1
Italy,2
St. Pete,2
West Coast of America,1
New York | Los Angeles,1
"North Plainfield, NJ",1
LA,4
"Port Washington, NY 11050",2
North Tonawanda,1
The Lone Star State,2
"Bozeman, Montana",1
"Plattsburgh, New York",1
"fairfield county, connecticut",1
Northwestern NJ,2
ottawa,1
"Halifax, Nova Scotia",1
pittsburgh,1
Deerfield,1
Indianapolis,11
Bhutan,10
Kanasa City,1
West Palm Beach ,1
"Island of Oahu, Hawaii",1
"Los Gatos, CA ",1
"Tucson, AZ and Vancouver, BC",1
"Wheatridge,Colo",1
"ÜT: 40.976702,-72.210688",1
"Portsmouth, UK",1
"grand rapids, michigan",1
"ÜT: 34.188976,-118.613497",1
Omagh/Belfast,1
Today I'm in: Maryland ,1
"ÜT: 38.965477,-77.428287",1
Chappaqua NY,4
"Columbus, OH",13
TX,3
"Burlington, Ma",1
"San Antonio, TX",5
"West Palm Beach, FL",1
"St.Peters, MO",1
lurking in a coffeehouse,2
Orange County,1
Eau Claire,2
Trapped in Baltimore.,3
Fort Lauderdale,11
EVERYWHERE,2
"Grandville, Michigan",1
Around...,5
603 | 205,1
"woodstock, Ontario, Canada",3
"Lubbock, TX",1
Midwest + Airplanes,1
"Newark, Ohio",1
"Arlington,Tx",1
The next President of Libya,2
"Duluth, MN",3
"Boston, Atlanta, or in-flight",1
"Perdido Key, FL",1
"San Diego,  CA",1
"Valrico, Florida",1
"Kansas City, KS",3
"Lee's Summit, MO, @CityOfLS",1
"San Juan, Brooklyn, LA ",2
"InMyFeelings, IL",1
Everywhere You Wish You Were!,1
Dallas ,1
"Birmingham, AL",8
Kansas City MO,5
"Fullerton, CA",3
"Manchester, NH",2
Galt Gulch,2
Detroit,1
Everywhere But Never Scared,3
"Albany, NY",6
Florida ,2
DFW,10
"cambridge, maryland",1
South Florida ,6
Kansas City area,1
"Hopatcong, NJ",2
The World is my Country,1
"Detroit, Michigan",1
la,1
"Moultonborough, NH",1
"Logan Square, Chi / Austin, TX",1
Tennessee,7
Canada/US,1
"Mustang, Oklahoma",1
"New Orleans, LA, USA",2
"Panama City, Florida",1
Whereever Yearbooks Are Born,1
ATL,2
"Waterford, MI",1
Washington D.C. / Northern VA,1
NE Ohio,1
Somewhere mind in my business,1
Brooklyn NY,2
Dallas Fort Worth,2
"darien, il",2
Carlsbad | CA,1
California/Maryland,1
+ Las Vegas +,1
Near Los Angeles CA,1
KCMO,4
Nebraska,6
"Madison, OH",1
"Indianapolis, Indiana; USA",3
"Franklin, TN",7
"Kensington, MD",1
"Littleton, NH",1
"Redlands, CA",4
Dodger Stadium | Disneyland,7
Ozarks,1
suburbs of Pittsburgh....,1
"Reno, NV",1
"La Jolla, CA ",1
Philadelphia PA ,1
Twin Cities,2
WashingtonDC,3
•New York•,1
New England ,10
"Arlington, TX",1
"Bellingham, Washington",1
wherever you need me to be. ,1
Bloomington/San Francisco,1
some where in massachusetts ,3
"Baltimore,MD",1
RI,2
"Royal Palm Beach, FL, USA",2
The AZ Desert,1
"Wilmington, North Carolina",3
D(M)V,1
RI when home.,2
"Rocky Mountains, Colorado USA",1
"Westminster, CO",1
Lone Star State,1
